Departure station (id);Departure station;Arrival station (id);Arrival station;Length
514;HAM-S-HEURE;133;BEIGNEE;1.4245733679658399
1663;HAREN;1048;SCHAERBEEK;6.073782277891779
647;KORTEMARK;724;LICHTERVELDE;5.96108641602288
10;AARSELE;317;DEINZE;8.383183688507101
1043;SART-BERNARD;896;NANINNE;1.93451963935651
153;BIERGES-WAL;1223;WAVRE;1.17802786930241
313;DAVE-ST-MART;610;JAMBES-EST;2.98044454484968
235;BURST;345;EDE;4.76032997522386
1228;WELLE;318;DENDERLEEUW;1.9766592737523598
1136;THIEU;535;HAVRE;2.93629414907999
133;BEIGNEE;612;JAMIOULX;2.80713265543637
479;GOUY-PIETON;471;GODARVILLE;2.79297341323937
2011;OUGREE;208;BRESSOUX;8.09471270238334
1253;WICHELEN;1060;SCHOONAARDE;2.57729646558143
939;OUDENAARDE;66;ANZEGEM;8.24665566305924
1192;VILVOORDE;229;BUDA;2.0856446780595403
566;HEVER;190;BOORTMEERB;2.83576825819117
707;LENS;247;CAMBRON-CAST;3.77635082246385
446;GENLY;982;QUEVY;5.73752216531307
410;FLORIVAL;954;PECROT;2.09092858346933
708;LEOPOLDSBURG;143;BEVERLO;3.85702347648524
563;HERZELE;1130;TERHAGEN;1.37698764778239
644;KONTICH-LINT;590;HOVE;2.41077382751372
899;NEERPELT;1666;OVERPELT;1.47197082157592
364;ERBISOEUL;628;JURBISE;2.98065681042941
620;JEMEPPE-S-S;515;HAM-S-SAMBRE;0.774603359769017
434;GAVERE-ASPER;1272;ZINGEM;2.45163376229098
1146;TIENEN;384;EZEMAAL;6.3079732907403905
215;BRUX-CENTRAL;217;BRUXELL-CHAP;0.789979517572293
797;MARIA-AALTER;8;AALTER;4.6223638930631
1261;ZEDELGEM;1152;TORHOUT;7.9836934878512
367;ERPE-MERE;110;BAMBRUGGE;2.56116170417345
325;DIEGEM;1048;SCHAERBEEK;6.72025706808928
488;G-BIJGAARDEN;328;DILBEEK;2.20379730908584
685;LANDSKOUTER;474;GONTRODE;1.25201773339745
590;HOVE;644;KONTICH-LINT;2.41077382751372
1161;TURNHOUT;1144;TIELEN;9.70777400645152
259;CHARL-CENTR;281;COUILLET;2.6836630976197497
22;AMAY;530;HAUTE-FLONE;1.19794582976461
67;APPELTERRE;1256;ZANDBERGEN;1.2952106352267798
585;HOURPES;1139;THUIN;3.24824855788172
380;ETTERBEEK;218;BRUXELL-LUX;2.33888870383221
894;NAMECHE;1062;SCLAIGNEAUX;3.2014846822609
433;GASTUCHE;68;ARCHENNES;2.36969814004111
126;BEAURAING;589;HOUYET;9.73342940130064
1081;SAINT-JOB;824;VIVIER D'OIE;1.00327391321572
232;BUIZINGEN;759;LOT;1.8015984144312098
217;BRUXELL-CHAP;215;BRUX-CENTRAL;0.789979517572293
514;HAM-S-HEURE;288;COUR-HEURE;2.3982509336011897
1144;TIELEN;1161;TURNHOUT;9.70777400645152
682;LANDEGEM;335;DRONGEN;5.679393221149811
952;PAPIGNIES;583;HOURAING;1.86747046876375
364;ERBISOEUL;462;GHLIN;3.03184537688916
342;ECAUSSINNES;790;MARCHE-ECAUS;2.30790909491612
316;DE HOEK;1079;RHODE-ST-G;1.1590775910472801
848;MONS;615;JEMAPPES;4.37072261207732
589;HOUYET;442;GENDRON-CELL;4.8105261614507695
409;FLORENVILLE;146;BERTRIX;20.2909262243548
438;GEMBLOUX;754;LONZEE;2.9981827733687703
16;AISEAU;1125;TAMINES;1.79604370104547
873;MUNKZWALM;1274;ZOTTEGEM;7.43172118425392
210;BRUGGE;212;BRUGGE-ST-P;3.12230384618844
1088;SINT-NIKLAAS;138;BELSELE;4.4365950193757095
730;LIEGE-ST-LAM;728;LIEGE-CARRE;1.12211406370089
317;DEINZE;1212;WAREGEM;12.298373367423402
610;JAMBES-EST;313;DAVE-ST-MART;2.98044454484968
1242;WIJGMAAL;507;HAMBOS;3.52628096662913
515;HAM-S-SAMBRE;620;JEMEPPE-S-S;0.774603359769017
642;KNOKKE;337;DUINBERGEN;1.5643771584608301
1212;WAREGEM;520;HARELBEKE;8.82800046018578
568;HILLEGEM;1274;ZOTTEGEM;4.13929815688898
919;OBAIX-BUZET;768;LUTTRE;3.86866638578236
809;MAZY;255;CHAP-DIEU;5.4858892630526395
805;MASNUY-ST-P;902;NEUFVILLES;3.65473290062456
782;MAFFLE;832;MEVERG-ATTRE;2.7972644463620298
