Departure station (id);Departure station;Arrival station (id);Arrival station;Length;geo_point_2d
962;PIETON;250;CARNIERES;2.3463443377611304;50.44043464660334, 4.274684413822367
902;NEUFVILLES;805;MASNUY-ST-P;3.65473290062456;50.537676081628675, 3.9869003910228216
404;FLEURUS;82;AUVELAIS;9.351732190184642;50.45461601746983, 4.5793993373582484
567;HEVERLEE;941;OUD-HEVERLEE;4.27256433370117;50.85096837838094, 4.673027072972086
24;AMPSIN;592;HUY;4.27848800719017;50.535930500673395, 5.260742131258775
470;GLONS;733;LIERS;7.21386401964768;50.720081550659415, 5.54557343845397
1272;ZINGEM;434;GAVERE-ASPER;2.45163376229098;50.91996495106783, 3.643632747123773
750;LOMMEL;1666;OVERPELT;7.88020701392755;51.213539320415265, 5.366831650400503
936;OTTIGNIES;975;PROFONDSART;2.87523894227314;50.68299075825538, 4.560186484510586
975;PROFONDSART;997;RIXENSART;2.56976699140769;50.704271823880426, 4.5408046092559795
788;MARCHE-FAM;801;MARLOIE;3.14992625492155;50.21312385014238, 5.330076170915434
1048;SCHAERBEEK;325;DIEGEM;6.72025706808927;50.89099076990905, 4.410447921534436
1244;WILDERT;376;ESSEN;4.00529035906362;51.44515710489826, 4.457279701848945
75;ASSESSE;287;COURRIERE;2.90683407644085;50.37732889898335, 5.0076608965405045
375;ESNEUX;579;HONY;1.1871316938918701;50.53501546504547, 5.572971639918472
514;HAM-S-HEURE;133;BEIGNEE;1.4245733679658399;50.32687164338198, 4.406340041571731
1663;HAREN;1048;SCHAERBEEK;6.073782277891779;50.89076725203895, 4.405810647003902
647;KORTEMARK;724;LICHTERVELDE;5.96108641602288;51.02748520510587, 3.0856832350848933
10;AARSELE;317;DEINZE;8.383183688507101;50.97909848429431, 3.476945743205856
1043;SART-BERNARD;896;NANINNE;1.93451963935651;50.41266241470908, 4.939194075690524
153;BIERGES-WAL;1223;WAVRE;1.17802786930241;50.71186285114349, 4.600167173478206
313;DAVE-ST-MART;610;JAMBES-EST;2.98044454484968;50.44110084148519, 4.879826013755399
235;BURST;345;EDE;4.76032997522386;50.909099003524645, 3.9542975547018138
1228;WELLE;318;DENDERLEEUW;1.9766592737523598;50.89785107207781, 4.061414308821339
1136;THIEU;535;HAVRE;2.93629414907999;50.46861735557736, 4.078402405009076
133;BEIGNEE;612;JAMIOULX;2.80713265543637;50.34329179978765, 4.408473543185549
479;GOUY-PIETON;471;GODARVILLE;2.79297341323937;50.49203881019193, 4.3081691185326205
2011;OUGREE;208;BRESSOUX;8.09471270238334;50.61941229230247, 5.577449660168782
1253;WICHELEN;1060;SCHOONAARDE;2.57729646558143;51.00170708115745, 3.9931220416994537
939;OUDENAARDE;66;ANZEGEM;8.24665566305924;50.835564484703944, 3.5487339848514328
1192;VILVOORDE;229;BUDA;2.0856446780595403;50.91614199623116, 4.42519921080461
566;HEVER;190;BOORTMEERB;2.83576825819117;50.989152213147925, 4.55738205593974
707;LENS;247;CAMBRON-CAST;3.77635082246385;50.57422317390527, 3.889927644127568
446;GENLY;982;QUEVY;5.73752216531307;50.36704003894795, 3.9157146008557273
410;FLORIVAL;954;PECROT;2.09092858346933;50.76974943238414, 4.650632968202086
708;LEOPOLDSBURG;143;BEVERLO;3.85702347648524;51.10446393096888, 5.244653500508638
563;HERZELE;1130;TERHAGEN;1.37698764778239;50.89927010670567, 3.8885308183028124
644;KONTICH-LINT;590;HOVE;2.41077382751372;51.14388111399376, 4.471060062120163
899;NEERPELT;1666;OVERPELT;1.47197082157592;51.21716713301428, 5.431518718888051
364;ERBISOEUL;628;JURBISE;2.98065681042941;50.5195463756285, 3.899225447259235
620;JEMEPPE-S-S;515;HAM-S-SAMBRE;0.774603359769017;50.45227131489945, 4.667693902968159
434;GAVERE-ASPER;1272;ZINGEM;2.45163376229098;50.91996495106783, 3.643632747123773
1146;TIENEN;384;EZEMAAL;6.3079732907403905;50.789743703132935, 4.959720251821919
215;BRUX-CENTRAL;217;BRUXELL-CHAP;0.789979517572293;50.842924122868666, 4.352454486316005
797;MARIA-AALTER;8;AALTER;4.6223638930631;51.09918935859406, 3.4170758250407705
1261;ZEDELGEM;1152;TORHOUT;7.9836934878512;51.09595450797151, 3.1339622993336507
367;ERPE-MERE;110;BAMBRUGGE;2.56116170417345;50.92019702976216, 3.950103007121369
325;DIEGEM;1048;SCHAERBEEK;6.72025706808928;50.89099076990905, 4.410447921534436
488;G-BIJGAARDEN;328;DILBEEK;2.20379730908584;50.8669756731505, 4.259041971082232
685;LANDSKOUTER;474;GONTRODE;1.25201773339745;50.975188670043764, 3.796483574289894
590;HOVE;644;KONTICH-LINT;2.41077382751372;51.14388111399376, 4.471060062120163
1161;TURNHOUT;1144;TIELEN;9.70777400645152;51.28137330063775, 4.916752622199718
259;CHARL-CENTR;281;COUILLET;2.6836630976197497;50.3991308012149, 4.454134476391226
22;AMAY;530;HAUTE-FLONE;1.19794582976461;50.549957792901694, 5.3260454891702125
67;APPELTERRE;1256;ZANDBERGEN;1.2952106352267798;50.80969019861747, 3.964787753748556
585;HOURPES;1139;THUIN;3.24824855788172;50.35033542499596, 4.303212168191932
380;ETTERBEEK;218;BRUXELL-LUX;2.33888870383221;50.829500344083016, 4.381025040690125
894;NAMECHE;1062;SCLAIGNEAUX;3.2014846822609;50.48095462348564, 5.012608658262318
433;GASTUCHE;68;ARCHENNES;2.36969814004111;50.74392408959586, 4.6591243118089265
126;BEAURAING;589;HOUYET;9.73342940130064;50.15372597450995, 4.982283235134702
1081;SAINT-JOB;824;VIVIER D'OIE;1.00327391321572;50.795238746131616, 4.36708518038303
232;BUIZINGEN;759;LOT;1.8015984144312098;50.75833832214224, 4.265614317561855
217;BRUXELL-CHAP;215;BRUX-CENTRAL;0.789979517572293;50.842924122868666, 4.352454486316005
514;HAM-S-HEURE;288;COUR-HEURE;2.3982509336011897;50.31075438783992, 4.398717604372781
1144;TIELEN;1161;TURNHOUT;9.70777400645152;51.28137330063775, 4.916752622199718
682;LANDEGEM;335;DRONGEN;5.679393221149811;51.055859561792815, 3.615315960757812
952;PAPIGNIES;583;HOURAING;1.86747046876375;50.695082574049664, 3.830087010908215
364;ERBISOEUL;462;GHLIN;3.03184537688916;50.494868485939165, 3.892974145669169
342;ECAUSSINNES;790;MARCHE-ECAUS;2.30790909491612;50.55428313924171, 4.166886871053878
316;DE HOEK;1079;RHODE-ST-G;1.1590775910472801;50.74346168567251, 4.365860538370198
848;MONS;615;JEMAPPES;4.37072261207732;50.451143801632284, 3.9145866273506327
589;HOUYET;442;GENDRON-CELL;4.8105261614507695;50.200100697368256, 4.984383024443197
409;FLORENVILLE;146;BERTRIX;20.2909262243548;49.78191710798435, 5.305995831165846
438;GEMBLOUX;754;LONZEE;2.9981827733687703;50.56142494648467, 4.7052513646032965
16;AISEAU;1125;TAMINES;1.79604370104547;50.43001537901756, 4.59673017606216
873;MUNKZWALM;1274;ZOTTEGEM;7.43172118425392;50.86469289078943, 3.776197980072057
210;BRUGGE;212;BRUGGE-ST-P;3.12230384618844;51.20883437334514, 3.2068754805496877
1088;SINT-NIKLAAS;138;BELSELE;4.4365950193757095;51.16122215392683, 4.1161752065767985
730;LIEGE-ST-LAM;728;LIEGE-CARRE;1.12211406370089;50.6442596837052, 5.566674603185239
317;DEINZE;1212;WAREGEM;12.298373367423402;50.93647339707538, 3.4796280120684537
610;JAMBES-EST;313;DAVE-ST-MART;2.98044454484968;50.44110084148519, 4.879826013755399
1242;WIJGMAAL;507;HAMBOS;3.52628096662913;50.93387978760099, 4.681993894713398
515;HAM-S-SAMBRE;620;JEMEPPE-S-S;0.774603359769017;50.45227131489945, 4.667693902968159
642;KNOKKE;337;DUINBERGEN;1.5643771584608301;51.339102303702376, 3.2740810773594866
1212;WAREGEM;520;HARELBEKE;8.82800046018578;50.87442202665018, 3.3700840949611575
568;HILLEGEM;1274;ZOTTEGEM;4.13929815688898;50.88213961658701, 3.833801716931259
919;OBAIX-BUZET;768;LUTTRE;3.86866638578236;50.518079117235246, 4.370693967609804
809;MAZY;255;CHAP-DIEU;5.4858892630526395;50.535958842213184, 4.6873856309606134
805;MASNUY-ST-P;902;NEUFVILLES;3.65473290062456;50.537676081628675, 3.9869003910228216
782;MAFFLE;832;MEVERG-ATTRE;2.7972644463620298;50.60614187619265, 3.816233591920663
366;ERNAGE;438;GEMBLOUX;2.8839986181002;50.58188588012526, 4.678936023817497
866;M-OUDE GOD;590;HOVE;2.0915590842501603;51.16291422069462, 4.460279669298646
1270;ZICHEM;326;DIEST;5.067859872733931;50.99647493128669, 5.018034225253127
406;FLOREFFE;400;FLAWINNE;3.70280637475485;50.448328293903366, 4.7852045110655
215;BRUX-CENTRAL;216;BRUX-CONGRES;0.8325454103390819;50.848697362078774, 4.3592700355656095
1184;VICHTE;66;ANZEGEM;7.34691525359177;50.83122105980077, 3.444377994965092
404;FLEURUS;736;LIGNY;3.51671691262813;50.49647964300913, 4.556731139231012
77;ATH;782;MAFFLE;2.34229208786649;50.62132727350202, 3.788607644602232
1113;SY;510;HAMOIR;4.02315069741812;50.41666771173069, 5.520092045171864
984;QUIEVRAIN;1141;THULIN;4.5156207484558;50.41684327843477, 3.7159004200800605
